PERMNO,date,TICKER,COMNAM,PRC,CFACPR
10107,20001023,MSFT,MICROSOFT CORP,62.125,2
10107,20001024,MSFT,MICROSOFT CORP,61.5,2
10107,20001025,MSFT,MICROSOFT CORP,61.25,2
10107,20001026,MSFT,MICROSOFT CORP,64.4375,2
10107,20001027,MSFT,MICROSOFT CORP,67.6875,2
10107,20001030,MSFT,MICROSOFT CORP,69.0625,2
10107,20001031,MSFT,MICROSOFT CORP,68.875,2
10107,20001101,MSFT,MICROSOFT CORP,69.625,2
10107,20001102,MSFT,MICROSOFT CORP,70.3125,2
10107,20001103,MSFT,MICROSOFT CORP,68.25,2
10107,20001106,MSFT,MICROSOFT CORP,69.5,2
10107,20001107,MSFT,MICROSOFT CORP,70.5,2
10107,20001108,MSFT,MICROSOFT CORP,69.4375,2
10107,20001109,MSFT,MICROSOFT CORP,70.875,2
10107,20001110,MSFT,MICROSOFT CORP,67.375,2
10107,20001113,MSFT,MICROSOFT CORP,66.4375,2
10107,20001114,MSFT,MICROSOFT CORP,68.8125,2
10107,20001115,MSFT,MICROSOFT CORP,70.0625,2
10107,20001116,MSFT,MICROSOFT CORP,68.9375,2
10107,20001117,MSFT,MICROSOFT CORP,69.0625,2
10107,20001120,MSFT,MICROSOFT CORP,67.1875,2
10107,20001121,MSFT,MICROSOFT CORP,67.75,2
10107,20001122,MSFT,MICROSOFT CORP,68.25,2
10107,20001124,MSFT,MICROSOFT CORP,69.9375,2
10107,20001127,MSFT,MICROSOFT CORP,70.6875,2
10107,20001128,MSFT,MICROSOFT CORP,67,2
10107,20001129,MSFT,MICROSOFT CORP,65.0625,2
10107,20001130,MSFT,MICROSOFT CORP,57.375,2
10107,20001201,MSFT,MICROSOFT CORP,56.625,2
10107,20001204,MSFT,MICROSOFT CORP,56.4375,2
10107,20001205,MSFT,MICROSOFT CORP,59.875,2
10107,20001206,MSFT,MICROSOFT CORP,56.6875,2
10107,20001207,MSFT,MICROSOFT CORP,53.125,2
10107,20001208,MSFT,MICROSOFT CORP,54.4375,2
10107,20001211,MSFT,MICROSOFT CORP,58.0625,2
10107,20001212,MSFT,MICROSOFT CORP,58.375,2
10107,20001213,MSFT,MICROSOFT CORP,57.25,2
10107,20001214,MSFT,MICROSOFT CORP,55.5,2
10107,20001215,MSFT,MICROSOFT CORP,49.1875,2
10107,20001218,MSFT,MICROSOFT CORP,47.8125,2
10107,20001219,MSFT,MICROSOFT CORP,44.8125,2
10107,20001220,MSFT,MICROSOFT CORP,41.5,2
10107,20001221,MSFT,MICROSOFT CORP,43.4375,2
10107,20001222,MSFT,MICROSOFT CORP,46.4375,2
10107,20001226,MSFT,MICROSOFT CORP,46.875,2
10107,20001227,MSFT,MICROSOFT CORP,46.4375,2
10107,20001228,MSFT,MICROSOFT CORP,44.5625,2
10107,20001229,MSFT,MICROSOFT CORP,43.375,2
10107,20010102,MSFT,MICROSOFT CORP,43.375,2
10107,20010103,MSFT,MICROSOFT CORP,47.9375,2
10107,20010104,MSFT,MICROSOFT CORP,48.4375,2
10107,20010105,MSFT,MICROSOFT CORP,49.125,2
10107,20010108,MSFT,MICROSOFT CORP,48.9375,2
10107,20010109,MSFT,MICROSOFT CORP,51.8125,2
10107,20010110,MSFT,MICROSOFT CORP,52.875,2
10107,20010111,MSFT,MICROSOFT CORP,55,2
10107,20010112,MSFT,MICROSOFT CORP,53.5,2
10107,20010116,MSFT,MICROSOFT CORP,52.5625,2
10107,20010117,MSFT,MICROSOFT CORP,52.9375,2
10107,20010118,MSFT,MICROSOFT CORP,55.5,2
10107,20010119,MSFT,MICROSOFT CORP,61,2
10107,20010122,MSFT,MICROSOFT CORP,60.125,2
10107,20010123,MSFT,MICROSOFT CORP,60.5625,2
10107,20010124,MSFT,MICROSOFT CORP,62.9375,2
10107,20010125,MSFT,MICROSOFT CORP,61.8125,2
10107,20010126,MSFT,MICROSOFT CORP,64,2
10107,20010129,MSFT,MICROSOFT CORP,64.5,2
10107,20010130,MSFT,MICROSOFT CORP,63.375,2
10107,20010131,MSFT,MICROSOFT CORP,61.0625,2
10107,20010201,MSFT,MICROSOFT CORP,62.375,2
10107,20010202,MSFT,MICROSOFT CORP,60.8125,2
10107,20010205,MSFT,MICROSOFT CORP,61.9375,2
